종목코드,종목명,종가,대비,등락률,상장시가총액
"317450","명인제약","70900","-2400","-3.27","1035140.0"
"499790","GS피앤엘","53500","-100","-0.19","1060950.0"
"075580","세진중공업","18250","-710","-3.74","1037503.0"
"079160","CJ CGV","5620","20","0.36","930568.0"
"082640","동양생명","6260","-130","-2.03","1010105.0"
"093370","후성","8040","-450","-5.30","862333.0"
"100840","SNT에너지","38050","-1850","-4.64","786904.0"
"108320","LX세미콘","51700","-200","-0.39","840864.0"
"114090","GKL","14890","-150","-1.00","921031.0"
"192400","쿠쿠홀딩스","28800","-50","-0.17","1024191.0"
"195870","해성디에스","48150","-4550","-8.63","818550.0"
"229640","LS에코에너지","34750","-2300","-6.21","1064215.0"
"248070","솔루엠","17700","-330","-1.83","846347.0"
"249420","일동제약","30650","-450","-1.45","969712.0"
"030190","NICE평가정보","17020","-470","-2.69","1012802.0"
"030610","교보증권","9140","-160","-1.72","1041621.0"
"036530","SNT홀딩스","54400","-1600","-2.86","886931.0"
"064960","SNT모티브","29650","-1000","-3.26","786919.0"
"004490","세방전지","58900","-400","-0.67","824600.0"
"005690","파미셀","16450","-2080","-11.23","987279.0"
"006650","대한유화","141100","-5600","-3.82","917150.0"
"009240","한샘","44850","100","0.22","1055497.0"
"009450","경동나비엔","56500","-1500","-2.59","823125.0"
"012630","HDC","17810","610","3.55","1064000.0"
"000070","삼양홀딩스","104600","0","0.00","898339.0"
"000210","DL","38850","-750","-1.89","814136.0"
"001430","세아베스틸지주","26500","-350","-1.30","950346.0"
"001740","SK네트웍스","4510","-50","-1.10","997963.0"
"002030","아세아","391000","0","0.00","814899.0"
"003240","태광산업","777000","-7000","-0.89","865112.0"
"298020","효성티앤씨","222000","2000","0.91","960745.0"
"003030","세아제강지주","135900","-4400","-3.14","562851.0"
"003160","디아이","22350","-2500","-10.06","632505.0"
"003300","한일홀딩스","16400","0","0.00","505659.0"
"003470","유안타증권","3700","-95","-2.50","738507.0"
"003620","KG모빌리티","3240","-30","-0.92","655695.0"
"003850","보령","8320","-180","-2.12","713750.0"
"268280","미원에스씨","137200","700","0.51","686000.0"
"271940","일진하이솔루스","14470","-470","-3.15","525452.0"
"284740","쿠쿠홈시스","24700","-100","-0.40","554202.0"
"322000","HD현대에너지솔루션","51500","-3200","-5.85","576800.0"
"336370","솔루스첨단소재","8800","-760","-7.95","617913.0"
"377740","바이오노트","5490","-100","-1.79","560288.0"
"381970","케이카","15630","30","0.19","763070.0"
"383800","LX홀딩스","7870","-110","-1.38","600329.0"
"450140","코오롱모빌리티그룹","8700","-540","-5.84","546162.0"
"453340","현대그린푸드","16230","90","0.56","532658.0"
"456040","OCI","58200","-1400","-2.35","521035.0"
"475150","SK이터닉스","18050","-1130","-5.89","609260.0"
"079900","전진건설로봇","48100","3750","8.46","701901.0"
"090460","비에이치","15830","-780","-4.70","533654.0"
"093050","LF","17470","-360","-2.02","510823.0"
"105630","한세실업","13230","200","1.53","529200.0"
"145720","덴티움","49150","-1150","-2.29","544033.0"
"145990","삼양사","52000","-400","-0.76","536299.0"
"161000","애경케미칼","9920","-290","-2.84","482595.0"
"170900","동아에스티","53000","-700","-1.30","495690.0"
"178920","PI첨단소재","16100","-1080","-6.29","472798.0"
"192650","드림텍","6780","-370","-5.17","467074.0"
"214320","이노션","17880","-60","-0.33","715200.0"
"016380","KG스틸","5300","-100","-1.85","530047.0"
"016590","신대양제지","13760","-90","-0.65","554498.0"
"016800","퍼시스","45350","-50","-0.11","521525.0"
"017810","풀무원","13550","-200","-1.45","516533.0"
"017940","E1","83600","-1400","-1.65","573496.0"
"019170","신풍제약","13830","-430","-3.02","732782.0"
"025540","한국단자","60100","-1400","-2.28","607912.0"
"034310","NICE","14200","100","0.71","527224.0"
"039130","하나투어","48000","-150","-0.31","743517.0"
"057050","현대홈쇼핑","55800","-400","-0.71","669600.0"
"058650","세아홀딩스","116000","0","0.00","464000.0"
"069260","TKG휴켐스","17980","-110","-0.61","734997.0"
"004690","삼천리","127400","-3400","-2.60","516610.0"
"005180","빙그레","74500","-800","-1.06","711900.0"
"005250","녹십자홀딩스","15850","-150","-0.94","745397.0"
"005420","코스모화학","16040","-900","-5.31","616068.0"
"005810","풍산홀딩스","36300","-700","-1.89","523348.0"
"005880","대한해운","1728","-27","-1.54","557707.0"
"006380","카프로","3660","0","0.00","618540.0"
"007700","F&F홀딩스","19670","-430","-2.14","769380.0"
"007810","코리아써키트","28200","-1950","-6.47","666105.0"
"008730","율촌화학","29600","-1250","-4.05","734080.0"
"009410","태영건설","1594","41","2.64","474359.0"
"010780","아이에스동서","18000","-210","-1.15","543366.0"
"014820","동원시스템즈","26400","-500","-1.86","765370.0"
"293940","신한알파리츠","5580","-20","-0.36","674846.0"
"348950","제이알글로벌리츠","2965","-5","-0.17","585220.0"
"451800","한화리츠","4020","-5","-0.12","721992.0"
"000370","한화손해보험","5160","-140","-2.64","602373.0"
"000400","롯데손해보험","1740","-7","-0.40","539985.0"
"000640","동아쏘시오홀딩스","106000","-2800","-2.57","692862.0"
"001060","JW중외제약","25100","-400","-1.57","584477.0"
"001270","부국증권","63600","-3100","-4.65","659525.0"
"001500","현대차증권","8030","-230","-2.78","496519.0"
"001570","금양","9900","0","0.00","633275.0"
"001680","대상","21050","200","0.96","729341.0"
"002020","코오롱","51300","-500","-0.97","647736.0"
"002240","고려제강","18290","330","1.84","493830.0"
"002350","넥센타이어","7290","190","2.68","711999.0"
"002840","미원상사","146200","1200","0.83","694450.0"
"002960","한국쉘석유","465000","2500","0.54","604500.0"
"0030R0","대신밸류리츠","4500","-5","-0.11","269010.0"
"088260","이리츠코크렙","4765","0","0.00","301823.0"
"334890","이지스밸류플러스리츠","4355","5","0.11","302449.0"
"357120","코람코라이프인프라리츠","4615","70","1.54","449203.0"
"377190","디앤디플랫폼리츠","3455","10","0.29","305422.0"
"400760","NH올원리츠","3490","0","0.00","191703.0"
"404990","신한서부티엔디리츠","3590","-15","-0.42","206802.0"
"417310","코람코더원리츠","6860","-60","-0.87","277144.0"
"432320","KB스타리츠","3620","-30","-0.82","367120.0"
"448730","삼성FN리츠","4575","15","0.33","416554.0"
"000020","동화약품","6110","-70","-1.13","170661.0"
"000050","경방","6910","-90","-1.29","189440.0"
"000140","하이트진로홀딩스","10160","30","0.30","235781.0"
"000230","일동홀딩스","13950","-610","-4.19","160989.0"
"000300","DH오토넥스","1984","0","0.00","162944.0"
"000320","노루홀딩스","21850","-750","-3.32","290412.0"
"000390","삼화페인트","5680","-40","-0.70","154516.0"
"000430","대원강업","3770","-80","-2.08","233740.0"
"000480","CR홀딩스","4930","-20","-0.40","231170.0"
"000490","대동","9410","-190","-1.98","248355.0"
"000520","삼일제약","10290","-490","-4.55","223209.0"
"000540","흥국화재","3630","-90","-2.42","233201.0"
"000680","LS네트웍스","3025","-145","-4.57","238379.0"
"000860","강남제비스코","12000","-50","-0.41","156000.0"
"000970","한국주철관","7200","-40","-0.55","164164.0"
"001080","만호제강","44900","-1450","-3.13","186335.0"
"001130","대한제분","141100","-700","-0.49","238459.0"
"001200","유진투자증권","3465","-140","-3.88","335642.0"
"001230","동국홀딩스","7410","-60","-0.80","235642.0"
"001250","GS글로벌","2375","-10","-0.42","196018.0"
"001340","PKC","5690","-150","-2.57","255586.0"
"001390","KG케미칼","5300","-200","-3.64","362886.0"
"001460","BYC","41150","1550","3.91","257029.0"
"001510","SK증권","660","-16","-2.37","311910.0"
"001520","동양","814","-13","-1.57","194289.0"
"001530","DI동일","17750","350","2.01","350195.0"
"001630","종근당홀딩스","48350","-150","-0.31","242227.0"
"001750","한양증권","18290","-600","-3.18","232805.0"
"001780","알루코","1940","-45","-2.27","187850.0"
"001790","대한제당","2860","10","0.35","256532.0"
"001820","삼화콘덴서","28300","-1400","-4.71","294179.0"
"001940","KISCO홀딩스","25950","-50","-0.19","367877.0"
"002100","경농","9230","-10","-0.11","180193.0"
"002150","도화엔지니어링","6080","50","0.83","205018.0"
"002170","삼양통상","53600","-900","-1.65","160800.0"
"002310","아세아제지","7060","-70","-0.98","293926.0"
"002320","한진","20000","-200","-0.99","304700.0"
"002390","한독","11700","-40","-0.34","161033.0"
"002710","TCC스틸","15080","-540","-3.46","395303.0"
"002810","삼영무역","15280","-160","-1.04","282175.0"
"002900","TYM","6110","-290","-4.53","275261.0"
"003000","부광약품","3765","-105","-2.71","371472.0"
"003070","코오롱글로벌","9110","60","0.66","172477.0"
"003120","일성아이에스","22650","-350","-1.52","301245.0"
"003200","일신방직","12270","130","1.07","281719.0"
"003220","대원제약","12630","-240","-1.86","283260.0"
"003280","흥아해운","1587","-39","-2.40","381554.0"
"003350","한국화장품제조","53200","-700","-1.30","241102.0"
"003460","유화증권","2755","-30","-1.08","156215.0"
"003520","영진약품","1960","-27","-1.36","358470.0"
"003610","방림","5530","280","5.33","222318.0"
"003650","미창석유","108900","-200","-0.18","189450.0"
"003720","삼영","6070","-40","-0.65","206380.0"
"003830","대한화섬","117300","700","0.60","155774.0"
"003920","남양유업","51400","300","0.59","308400.0"
"003960","사조대림","37950","350","0.93","347792.0"
"004090","한국석유","13820","-230","-1.64","175433.0"
"004360","세방","13290","-30","-0.23","254046.0"
"004380","삼익THK","9960","0","0.00","209160.0"
"004430","송원산업","9120","-120","-1.30","218880.0"
"004560","현대비앤지스틸","10630","-220","-2.03","160288.0"
"004700","조광피혁","69300","-500","-0.72","460785.0"
"004710","한솔테크닉스","5850","-270","-4.41","187843.0"
"004980","성신양회","9540","-200","-2.05","233883.0"
"005010","휴스틸","3925","-65","-1.63","220538.0"
"005090","SGC에너지","23200","-200","-0.85","334297.0"
"005430","한국공항","57000","-1000","-1.72","180482.0"
"005500","삼진제약","20000","-50","-0.25","278000.0"
"005610","SPC삼립","51000","100","0.20","440079.0"
"005680","삼영전자","10220","10","0.10","204400.0"
"005720","넥센","5680","30","0.53","304130.0"
"005950","이수화학","9340","-580","-5.85","245588.0"
"006060","화승인더","3690","-105","-2.77","204131.0"
"006110","삼아알미늄","22400","-1300","-5.49","329547.0"
"006220","제주은행","12200","-260","-2.09","461142.0"
"006340","대원전선","3820","-120","-3.05","291669.0"
"007160","사조산업","53800","3600","7.17","269000.0"
"007460","에이프로젠","665","-35","-5.00","218988.0"
"007570","일양약품","13050","0","0.00","249068.0"
"007690","국도화학","31100","-1050","-3.27","288012.0"
"007860","서연","9180","-110","-1.18","215545.0"
"008040","사조동아원","1112","-10","-0.89","156953.0"
"008060","대덕","10160","-60","-0.59","344324.0"
"008110","대동전자","15040","0","0.00","157776.0"
"008490","서흥","21950","-350","-1.57","253942.0"
"008970","KBI동양철관","1932","-83","-4.12","154369.0"
"009160","SIMPAC","4685","-35","-0.74","306537.0"
"009270","신원","1422","-14","-0.97","157310.0"
"009290","광동제약","5960","-20","-0.33","312428.0"
"009470","삼화전기","28200","-1650","-5.53","186510.0"
"009580","무림P&P","2495","-10","-0.40","155609.0"
"009680","모토닉","10480","-110","-1.04","293964.0"
"009900","명신산업","8230","-270","-3.18","431829.0"
"010580","에스엠벡셀","2000","-100","-4.76","222504.0"
"010690","화신","7570","-230","-2.95","264348.0"
"010820","퍼스텍","3815","-175","-4.39","186065.0"
"011000","진원생명과학","2040","-40","-1.92","174236.0"
"011500","한농화성","14600","-770","-5.01","228301.0"
"011760","현대코퍼레이션","21400","150","0.71","283100.0"
"011930","신성이엔지","1507","-71","-4.50","310213.0"
"012030","DB","1376","-27","-1.92","276815.0"
"013580","계룡건설","17900","-220","-1.21","159863.0"
"013890","지누스","12150","-240","-1.94","270393.0"
"014280","금강공업","5870","220","3.89","172163.0"
"014830","유니드","64700","-2200","-3.29","437864.0"
"015230","대창단조","6350","-90","-1.40","181434.0"
"015360","INVENI","61200","-1400","-2.24","348840.0"
"015860","일진홀딩스","7670","-560","-6.80","378495.0"
"016450","한세예스24홀딩스","4355","-45","-1.02","174200.0"
"016580","환인제약","11380","-120","-1.04","211669.0"
"016610","DB증권","10130","-170","-1.65","429982.0"
"016880","웅진","2995","-115","-3.70","239382.0"
"017390","서울가스","65300","-600","-0.91","326500.0"
"017860","DS단석","18930","-660","-3.37","332869.0"
"018250","애경산업","13760","130","0.95","363401.0"
"018470","조일알미늄","1250","-45","-3.47","158290.0"
"019680","대교","1993","9","0.45","168813.0"
"020000","한섬","16140","230","1.45","362145.0"
"024720","콜마홀딩스","10350","-400","-3.72","354966.0"
"025000","KPX케미칼","50500","300","0.60","244420.0"
"025820","이구산업","4625","-165","-3.44","154669.0"
"025860","남해화학","6490","-10","-0.15","322416.0"
"026890","스틱인베스트먼트","10070","-70","-0.69","419699.0"
"027410","BGF","3995","-40","-0.99","382389.0"
"028100","동아지질","15700","-30","-0.19","210215.0"
"029460","케이씨","24650","-1600","-6.10","326151.0"
"029530","신도리코","45650","350","0.77","460153.0"
"030210","다올투자증권","3380","-95","-2.73","205880.0"
"031430","신세계인터내셔날","10280","-100","-0.96","363326.0"
"031440","신세계푸드","41900","-100","-0.24","162257.0"
"033240","자화전자","16690","-1070","-6.02","363118.0"
"033270","유나이티드제약","19440","140","0.73","317529.0"
"033530","SJG세종","8020","-240","-2.91","223124.0"
"033920","무학","8220","-110","-1.32","234270.0"
"034120","SBS","19300","-290","-1.48","358039.0"
"034830","한국토지신탁","1332","1","0.08","336316.0"
"035150","백산","13290","120","0.91","272962.0"
"035510","신세계 I&C","16920","-200","-1.17","236557.0"
"036420","콘텐트리중앙","9110","-270","-2.88","175480.0"
"037270","YG PLUS","6030","-100","-1.63","383889.0"
"037560","LG헬로비전","2340","-30","-1.27","181226.0"
"037710","광주신세계","30900","-50","-0.16","245877.0"
"039570","HDC랩스","8380","80","0.96","217525.0"
"044450","KSS해운","9380","-80","-0.85","216546.0"
"053210","스카이라이프","5380","30","0.56","255673.0"
"053690","한미글로벌","16990","-580","-3.30","186169.0"
"058430","포스코스틸리온","37400","150","0.40","224400.0"
"060980","HL홀딩스","43950","100","0.23","404932.0"
"069460","대호에이엘","1810","-11","-0.60","157600.0"
"070960","모나용평","3390","-15","-0.44","163172.0"
"071840","롯데하이마트","7630","10","0.13","180127.0"
"072710","농심홀딩스","94000","-1800","-1.88","435952.0"
